Time,Hour,BE
10,2020-10-30T11:51:24-07:00,100
20,2020-10-30T11:51:34-07:00,100
30,2020-10-30T11:51:44-07:00,100
40,2020-10-30T11:51:54-07:00,10
50,2020-10-30T11:52:04-07:00,1
60,2020-10-30T11:52:14-07:00,1.1
70,2020-10-30T11:52:24-07:00,1.21
80,2020-10-30T11:52:34-07:00,1.331
90,2020-10-30T11:52:44-07:00,1.4641
100,2020-10-30T11:52:54-07:00,1.61051
110,2020-10-30T11:53:04-07:00,1.771561
120,2020-10-30T11:53:14-07:00,1.9487171
130,2020-10-30T11:53:24-07:00,2.14358881
140,2020-10-30T11:53:34-07:00,2.357947691
150,2020-10-30T11:53:44-07:00,1
160,2020-10-30T11:53:54-07:00,1.1
170,2020-10-30T11:54:04-07:00,1.21
180,2020-10-30T11:54:14-07:00,1.331
190,2020-10-30T11:54:24-07:00,1.4641
200,2020-10-30T11:54:34-07:00,1.61051
210,2020-10-30T11:54:44-07:00,1
220,2020-10-30T11:54:54-07:00,1.1
230,2020-10-30T11:55:04-07:00,1.21
240,2020-10-30T11:55:14-07:00,1.331
250,2020-10-30T11:55:24-07:00,1.4641
260,2020-10-30T11:55:34-07:00,1.61051
270,2020-10-30T11:55:44-07:00,1.771561
280,2020-10-30T11:55:54-07:00,1.9487171
290,2020-10-30T11:56:04-07:00,2.14358881
300,2020-10-30T11:56:14-07:00,2.357947691
310,2020-10-30T11:56:24-07:00,2.59374246
320,2020-10-30T11:56:34-07:00,2.853116706
330,2020-10-30T11:56:44-07:00,1
340,2020-10-30T11:56:54-07:00,1.1
350,2020-10-30T11:57:04-07:00,1.21
360,2020-10-30T11:57:14-07:00,1.331
370,2020-10-30T11:57:24-07:00,1.4641
380,2020-10-30T11:57:34-07:00,1.61051
390,2020-10-30T11:57:44-07:00,1
400,2020-10-30T11:57:54-07:00,1.1
410,2020-10-30T11:58:04-07:00,1.21
420,2020-10-30T11:58:14-07:00,1.331
430,2020-10-30T11:58:24-07:00,1.4641
440,2020-10-30T11:58:34-07:00,1.61051