Time;Hour;0x02;0x03;QoS 1;BE 3;BE 4;0x00;0x01
1;2020-11-23T17:49:55+01:00;null;null;null;null;null;null;null
2;2020-11-23T17:49:56+01:00;null;null;null;null;null;0.03;null
3;2020-11-23T17:49:57+01:00;null;null;null;null;null;0.028;null
4;2020-11-23T17:49:58+01:00;null;null;null;null;null;0.03;null
5;2020-11-23T17:49:59+01:00;null;null;null;null;null;null;null
6;2020-11-23T17:50:00+01:00;null;null;null;null;null;0.029;null
7;2020-11-23T17:50:01+01:00;null;null;null;null;null;0.029;null
8;2020-11-23T17:50:02+01:00;null;null;null;null;null;0.024;null
9;2020-11-23T17:50:03+01:00;null;null;null;null;null;0.029;null
10;2020-11-23T17:50:04+01:00;null;null;null;null;null;0.025;null
11;2020-11-23T17:50:05+01:00;null;null;null;null;null;0.031;null
12;2020-11-23T17:50:06+01:00;null;null;null;null;null;0.027;null
13;2020-11-23T17:50:07+01:00;null;null;null;null;null;0.029;null
14;2020-11-23T17:50:08+01:00;null;null;null;null;null;0.029;null
15;2020-11-23T17:50:09+01:00;null;null;null;null;null;0.03;null
16;2020-11-23T17:50:10+01:00;null;null;null;null;null;null;null
17;2020-11-23T17:50:11+01:00;null;null;null;null;null;null;null
18;2020-11-23T17:50:12+01:00;null;null;null;null;null;0.071;null
19;2020-11-23T17:50:13+01:00;null;null;null;null;null;0.07;null
20;2020-11-23T17:50:14+01:00;null;null;null;null;397.337;60.138;null
21;2020-11-23T17:50:15+01:00;null;null;null;null;628.339;null;null
22;2020-11-23T17:50:16+01:00;null;null;null;null;590.509;36.007;null
23;2020-11-23T17:50:17+01:00;null;null;null;null;null;33.509;null
24;2020-11-23T17:50:18+01:00;null;null;null;null;553.058;null;null
25;2020-11-23T17:50:19+01:00;null;null;null;null;585.743;60.511;null
26;2020-11-23T17:50:20+01:00;null;null;null;null;592.268;null;null
27;2020-11-23T17:50:21+01:00;null;null;null;null;532.93;46.281;null
28;2020-11-23T17:50:22+01:00;null;null;null;null;540.866;26.881;null
29;2020-11-23T17:50:23+01:00;null;null;null;null;566.683;27.082;null
30;2020-11-23T17:50:24+01:00;null;null;null;null;631.342;null;null
31;2020-11-23T17:50:25+01:00;null;null;null;null;779.386;31.02;null
32;2020-11-23T17:50:26+01:00;null;null;null;null;753.31;null;null
33;2020-11-23T17:50:27+01:00;null;null;null;null;809.535;46.434;null
34;2020-11-23T17:50:28+01:00;null;null;null;null;782.943;52.749;null
35;2020-11-23T17:50:29+01:00;null;null;null;null;868.805;55.951;null
36;2020-11-23T17:50:30+01:00;null;null;null;null;null;8.181;null
37;2020-11-23T17:50:31+01:00;null;null;null;null;null;8.181;null
38;2020-11-23T17:50:32+01:00;null;null;null;null;null;null;null
39;2020-11-23T17:50:33+01:00;null;null;null;null;null;null;null
40;2020-11-23T17:50:34+01:00;null;null;null;null;null;null;null
41;2020-11-23T17:50:35+01:00;null;null;null;null;null;null;null
42;2020-11-23T17:50:36+01:00;null;null;null;null;null;null;null
43;2020-11-23T17:50:37+01:00;null;null;null;null;null;null;null
44;2020-11-23T17:50:38+01:00;null;null;null;null;null;null;null
45;2020-11-23T17:50:39+01:00;null;null;null;null;null;null;null
46;2020-11-23T17:50:40+01:00;null;null;null;null;null;null;null
47;2020-11-23T17:50:41+01:00;null;null;null;null;null;null;null
48;2020-11-23T17:50:42+01:00;null;null;null;null;null;null;null
49;2020-11-23T17:50:43+01:00;null;null;null;null;null;null;null
50;2020-11-23T17:50:44+01:00;null;null;null;null;null;null;null
51;2020-11-23T17:50:45+01:00;null;null;null;null;null;null;null
52;2020-11-23T17:50:46+01:00;null;null;null;null;null;null;null
53;2020-11-23T17:50:47+01:00;null;null;null;null;null;null;null
54;2020-11-23T17:50:48+01:00;null;null;null;null;null;null;null
55;2020-11-23T17:50:49+01:00;null;null;null;null;null;null;null
56;2020-11-23T17:50:50+01:00;null;null;null;null;null;null;null
57;2020-11-23T17:50:51+01:00;null;null;null;null;null;null;null
58;2020-11-23T17:50:52+01:00;null;null;null;null;null;null;null
59;2020-11-23T17:50:53+01:00;null;null;null;null;null;null;null
60;2020-11-23T17:50:54+01:00;null;null;null;null;null;null;null
61;2020-11-23T17:50:55+01:00;null;null;null;null;null;null;null
62;2020-11-23T17:50:56+01:00;null;null;null;null;null;null;null
63;2020-11-23T17:50:57+01:00;null;null;null;null;null;null;null
64;2020-11-23T17:50:58+01:00;null;null;null;null;null;null;null
65;2020-11-23T17:50:59+01:00;null;null;null;null;null;null;null
66;2020-11-23T17:51:00+01:00;null;null;null;null;null;null;null
67;2020-11-23T17:51:01+01:00;null;null;null;null;null;null;null
68;2020-11-23T17:51:02+01:00;null;null;null;null;null;null;null
69;2020-11-23T17:51:03+01:00;null;null;null;null;null;null;null
70;2020-11-23T17:51:04+01:00;null;null;null;null;null;null;null
71;2020-11-23T17:51:05+01:00;null;null;null;null;null;null;null
72;2020-11-23T17:51:06+01:00;null;null;null;null;null;null;null
73;2020-11-23T17:51:07+01:00;null;null;null;null;null;null;null
74;2020-11-23T17:51:08+01:00;null;null;null;null;null;null;null
75;2020-11-23T17:51:09+01:00;null;null;null;null;null;null;null
76;2020-11-23T17:51:10+01:00;null;null;null;null;null;null;null
77;2020-11-23T17:51:11+01:00;null;null;null;null;null;null;null
78;2020-11-23T17:51:12+01:00;null;null;null;null;null;null;null
79;2020-11-23T17:51:13+01:00;null;null;null;null;92.749;null;null
80;2020-11-23T17:51:14+01:00;null;null;null;null;944.227;155.814;null
81;2020-11-23T17:51:15+01:00;null;null;null;null;null;53.626;null
82;2020-11-23T17:51:16+01:00;null;null;null;null;1035.436;50.246;null
83;2020-11-23T17:51:17+01:00;null;null;null;null;844.871;46.892;null
84;2020-11-23T17:51:18+01:00;null;null;null;null;847.755;null;null
85;2020-11-23T17:51:19+01:00;null;null;null;null;847.755;55.073;null
86;2020-11-23T17:51:20+01:00;null;null;null;null;837.019;48.046;null
87;2020-11-23T17:51:21+01:00;null;null;null;null;838.57;59.663;null
88;2020-11-23T17:51:22+01:00;null;null;null;null;877.139;29.457;null
89;2020-11-23T17:51:23+01:00;null;null;null;null;null;51.1;null
90;2020-11-23T17:51:24+01:00;null;null;null;null;829.662;null;null
91;2020-11-23T17:51:25+01:00;null;null;null;null;816.083;45.453;null
92;2020-11-23T17:51:26+01:00;null;null;null;null;860.229;47.571;null
93;2020-11-23T17:51:27+01:00;null;null;null;null;860.229;82.235;null
94;2020-11-23T17:51:28+01:00;null;null;null;null;870.146;93.669;null
95;2020-11-23T17:51:29+01:00;null;null;null;null;843.672;47.994;null
96;2020-11-23T17:51:30+01:00;null;null;null;null;null;55.631;null
97;2020-11-23T17:51:31+01:00;null;null;null;null;null;55.631;null
98;2020-11-23T17:51:32+01:00;null;null;null;null;null;139.502;null
99;2020-11-23T17:51:33+01:00;null;null;null;null;null;null;null
100;2020-11-23T17:51:34+01:00;null;null;null;null;null;null;null
101;2020-11-23T17:51:35+01:00;null;null;null;null;null;null;null
102;2020-11-23T17:51:36+01:00;null;null;null;null;null;null;null
103;2020-11-23T17:51:37+01:00;null;null;null;null;null;null;null
104;2020-11-23T17:51:38+01:00;null;null;null;null;null;null;null
105;2020-11-23T17:51:39+01:00;null;null;null;null;null;null;null
106;2020-11-23T17:51:40+01:00;null;null;null;null;null;null;null
107;2020-11-23T17:51:41+01:00;null;null;null;null;null;null;null
108;2020-11-23T17:51:42+01:00;null;null;null;null;null;null;null
109;2020-11-23T17:51:43+01:00;null;null;null;null;null;null;null
110;2020-11-23T17:51:44+01:00;null;null;null;null;null;null;null
111;2020-11-23T17:51:45+01:00;null;null;null;null;null;null;null
112;2020-11-23T17:51:46+01:00;null;null;null;null;null;null;null
113;2020-11-23T17:51:47+01:00;null;null;null;null;null;null;null
114;2020-11-23T17:51:48+01:00;null;null;null;null;null;null;null
115;2020-11-23T17:51:49+01:00;null;null;null;null;null;null;null
116;2020-11-23T17:51:50+01:00;null;null;null;null;null;null;null
117;2020-11-23T17:51:51+01:00;null;null;null;null;null;null;null
118;2020-11-23T17:51:52+01:00;null;null;null;null;null;null;null
119;2020-11-23T17:51:53+01:00;null;null;null;null;null;null;null
120;2020-11-23T17:51:54+01:00;null;null;null;null;584.124;430.127;null
121;2020-11-23T17:51:55+01:00;null;null;null;null;1548.8490000000002;null;null
122;2020-11-23T17:51:56+01:00;null;null;null;null;1085.527;99.516;null
123;2020-11-23T17:51:57+01:00;null;null;null;null;933.077;99.516;null
124;2020-11-23T17:51:58+01:00;null;null;null;null;933.077;67.225;null
125;2020-11-23T17:51:59+01:00;null;null;null;null;937.239;88.031;null
126;2020-11-23T17:52:00+01:00;null;null;null;null;901.203;null;null
127;2020-11-23T17:52:01+01:00;null;null;null;null;901.203;56.28;null
128;2020-11-23T17:52:02+01:00;null;null;null;null;null;31.898;null
129;2020-11-23T17:52:03+01:00;null;null;null;null;824.142;31.898;null
130;2020-11-23T17:52:04+01:00;null;null;null;null;null;null;null
131;2020-11-23T17:52:05+01:00;null;null;null;null;null;40.694;null
132;2020-11-23T17:52:06+01:00;null;null;null;null;null;63.845;null
133;2020-11-23T17:52:07+01:00;null;null;null;null;null;114.175;null
134;2020-11-23T17:52:08+01:00;null;null;null;null;null;41.801;null
135;2020-11-23T17:52:09+01:00;null;null;null;null;null;38.129;null
136;2020-11-23T17:52:10+01:00;null;null;null;null;null;63.569;null
137;2020-11-23T17:52:11+01:00;null;null;null;null;null;61.637;null
138;2020-11-23T17:52:12+01:00;null;null;null;null;null;257.466;null
139;2020-11-23T17:52:13+01:00;null;null;null;null;null;null;null
140;2020-11-23T17:52:14+01:00;null;null;null;null;null;null;null
141;2020-11-23T17:52:15+01:00;null;null;null;null;null;null;null
142;2020-11-23T17:52:16+01:00;null;null;null;null;null;null;null
143;2020-11-23T17:52:17+01:00;null;null;null;null;null;null;null
144;2020-11-23T17:52:18+01:00;null;null;null;null;null;null;null
145;2020-11-23T17:52:19+01:00;null;null;null;null;null;null;null
146;2020-11-23T17:52:20+01:00;null;null;null;null;null;null;null
147;2020-11-23T17:52:21+01:00;null;null;null;null;null;null;null
148;2020-11-23T17:52:22+01:00;null;null;null;null;null;null;null
149;2020-11-23T17:52:23+01:00;null;null;null;null;null;null;null
150;2020-11-23T17:52:24+01:00;null;null;null;null;null;null;null
151;2020-11-23T17:52:25+01:00;null;null;null;null;null;null;null
152;2020-11-23T17:52:26+01:00;null;null;null;null;null;null;null
153;2020-11-23T17:52:27+01:00;null;null;null;null;null;null;null
154;2020-11-23T17:52:28+01:00;null;null;null;null;null;null;null
155;2020-11-23T17:52:29+01:00;null;null;null;null;null;null;null
156;2020-11-23T17:52:30+01:00;null;null;null;null;null;null;null
157;2020-11-23T17:52:31+01:00;null;null;null;null;null;null;null
158;2020-11-23T17:52:32+01:00;null;null;null;null;null;null;null
159;2020-11-23T17:52:33+01:00;null;null;null;null;null;null;null
160;2020-11-23T17:52:34+01:00;null;null;null;null;null;null;null
161;2020-11-23T17:52:35+01:00;null;null;null;null;null;null;null
162;2020-11-23T17:52:36+01:00;null;null;null;null;null;null;null
163;2020-11-23T17:52:37+01:00;null;null;null;null;null;null;null
164;2020-11-23T17:52:38+01:00;null;null;null;null;null;null;null
165;2020-11-23T17:52:39+01:00;null;null;null;null;null;null;null
166;2020-11-23T17:52:40+01:00;null;null;null;null;null;null;null
167;2020-11-23T17:52:41+01:00;null;null;null;null;null;null;null
168;2020-11-23T17:52:42+01:00;null;null;null;null;null;null;null
169;2020-11-23T17:52:43+01:00;null;null;null;null;null;null;null
170;2020-11-23T17:52:44+01:00;null;null;null;null;null;null;null
171;2020-11-23T17:52:45+01:00;null;null;null;null;null;null;null
172;2020-11-23T17:52:46+01:00;null;null;null;null;null;null;null
173;2020-11-23T17:52:47+01:00;null;null;null;null;null;null;null
174;2020-11-23T17:52:48+01:00;null;null;null;null;null;null;null
175;2020-11-23T17:52:49+01:00;null;null;null;null;null;null;null
176;2020-11-23T17:52:50+01:00;null;null;null;null;null;null;null
177;2020-11-23T17:52:51+01:00;null;null;null;null;null;null;null
178;2020-11-23T17:52:52+01:00;null;null;null;null;null;null;null
179;2020-11-23T17:52:53+01:00;null;null;null;null;null;null;null
180;2020-11-23T17:52:54+01:00;null;null;null;null;null;0.105;null
181;2020-11-23T17:52:55+01:00;null;null;null;null;null;0.104;null
182;2020-11-23T17:52:56+01:00;null;null;null;null;null;null;null
183;2020-11-23T17:52:57+01:00;null;null;null;null;null;0.064;null
184;2020-11-23T17:52:58+01:00;null;null;null;null;null;0.082;null
185;2020-11-23T17:52:59+01:00;null;null;null;null;null;0.082;null
186;2020-11-23T17:53:00+01:00;null;null;null;null;null;null;null
187;2020-11-23T17:53:01+01:00;null;null;null;null;null;0.082;null
188;2020-11-23T17:53:02+01:00;null;null;null;null;null;0.061;null
189;2020-11-23T17:53:03+01:00;null;null;null;null;null;null;null
190;2020-11-23T17:53:04+01:00;null;null;null;null;null;0.048;null
191;2020-11-23T17:53:05+01:00;null;null;null;null;null;0.045;null
192;2020-11-23T17:53:06+01:00;null;null;null;null;null;0.052;null
193;2020-11-23T17:53:07+01:00;null;null;null;null;null;0.043;null
194;2020-11-23T17:53:08+01:00;null;null;null;null;null;0.059;null
195;2020-11-23T17:53:09+01:00;null;null;null;null;null;0.062;null
196;2020-11-23T17:53:10+01:00;null;null;null;null;null;0.048;null
197;2020-11-23T17:53:11+01:00;null;null;null;null;null;0.042;null
198;2020-11-23T17:53:12+01:00;null;null;null;null;null;0.044;null
199;2020-11-23T17:53:13+01:00;null;null;null;null;null;null;null
200;2020-11-23T17:53:14+01:00;null;null;null;null;null;null;null
201;2020-11-23T17:53:15+01:00;null;null;null;null;null;null;null
202;2020-11-23T17:53:16+01:00;null;null;null;null;null;null;null
203;2020-11-23T17:53:17+01:00;null;null;null;null;null;null;null
204;2020-11-23T17:53:18+01:00;null;null;null;null;null;null;null
205;2020-11-23T17:53:19+01:00;null;null;null;null;null;null;null
206;2020-11-23T17:53:20+01:00;null;null;null;null;null;null;null
207;2020-11-23T17:53:21+01:00;null;null;null;null;null;null;null
208;2020-11-23T17:53:22+01:00;null;null;null;null;null;null;null
209;2020-11-23T17:53:23+01:00;null;null;null;null;null;null;null
210;2020-11-23T17:53:24+01:00;null;null;null;null;null;null;null
211;2020-11-23T17:53:25+01:00;null;null;null;null;null;null;null
212;2020-11-23T17:53:26+01:00;null;null;null;null;null;null;null
213;2020-11-23T17:53:27+01:00;null;null;null;null;null;null;null
214;2020-11-23T17:53:28+01:00;null;null;null;null;null;null;null
215;2020-11-23T17:53:29+01:00;null;null;null;null;null;null;null
216;2020-11-23T17:53:30+01:00;null;null;null;null;null;null;null
217;2020-11-23T17:53:31+01:00;null;null;null;null;null;null;null
218;2020-11-23T17:53:32+01:00;null;null;null;null;null;null;null
219;2020-11-23T17:53:33+01:00;null;null;null;null;null;0.084;null
220;2020-11-23T17:53:34+01:00;null;null;190.226;null;187.901;55.246;null
221;2020-11-23T17:53:35+01:00;null;null;687.225;null;1058.855;null;null
222;2020-11-23T17:53:36+01:00;null;null;687.225;null;1058.855;55.246;null
223;2020-11-23T17:53:37+01:00;null;null;1713.0439999999999;null;1913.737;172.901;null
224;2020-11-23T17:53:38+01:00;null;null;1713.0439999999999;null;1913.737;785.818;null
225;2020-11-23T17:53:39+01:00;null;null;2405.355;null;2406.031;1748.103;null
226;2020-11-23T17:53:40+01:00;null;null;3318.036;null;3328.133;null;null
227;2020-11-23T17:53:41+01:00;null;null;4069.632;null;4054.321;2565.511;null
228;2020-11-23T17:53:42+01:00;null;null;4832.317;null;4750.653;2200.7889999999998;null
229;2020-11-23T17:53:43+01:00;null;null;3416.297;null;2238.426;657.581;null
230;2020-11-23T17:53:44+01:00;null;null;3416.297;null;2238.426;100.388;null
231;2020-11-23T17:53:45+01:00;null;null;1708.8049999999998;null;1602.085;135.417;null
232;2020-11-23T17:53:46+01:00;null;null;1695.6770000000001;null;1699.2759999999998;73.697;null
233;2020-11-23T17:53:47+01:00;null;null;1689.8690000000001;null;1694.3690000000001;63.624;null
234;2020-11-23T17:53:48+01:00;null;null;1590.876;null;1600.0729999999999;48.333;null
235;2020-11-23T17:53:49+01:00;null;null;1608.4470000000001;null;1615.262;38.58;null
236;2020-11-23T17:53:50+01:00;null;null;null;null;null;59.377;null
237;2020-11-23T17:53:51+01:00;null;null;null;null;null;50.466;null
238;2020-11-23T17:53:52+01:00;null;null;null;null;null;68.297;null
239;2020-11-23T17:53:53+01:00;null;null;null;null;null;null;null
240;2020-11-23T17:53:54+01:00;null;null;null;null;null;null;null
241;2020-11-23T17:53:55+01:00;null;null;null;null;null;null;null
242;2020-11-23T17:53:56+01:00;null;null;null;null;null;null;null
243;2020-11-23T17:53:57+01:00;null;null;null;null;null;null;null
244;2020-11-23T17:53:58+01:00;null;null;null;null;null;null;null
245;2020-11-23T17:53:59+01:00;null;null;null;null;null;null;null
246;2020-11-23T17:54:00+01:00;null;null;null;null;null;null;null
247;2020-11-23T17:54:01+01:00;null;null;null;null;null;null;null
248;2020-11-23T17:54:02+01:00;null;null;null;null;null;null;null
249;2020-11-23T17:54:03+01:00;null;null;null;null;null;null;null
250;2020-11-23T17:54:04+01:00;null;null;null;null;null;null;null
251;2020-11-23T17:54:05+01:00;null;null;null;null;null;null;null
252;2020-11-23T17:54:06+01:00;null;null;null;null;null;null;null
253;2020-11-23T17:54:07+01:00;null;null;null;null;null;null;null
254;2020-11-23T17:54:08+01:00;null;null;null;null;null;null;null
255;2020-11-23T17:54:09+01:00;null;null;null;null;null;null;null
256;2020-11-23T17:54:10+01:00;null;null;null;null;null;null;null
257;2020-11-23T17:54:11+01:00;null;null;null;null;null;null;null
258;2020-11-23T17:54:12+01:00;null;null;null;null;null;null;null
259;2020-11-23T17:54:13+01:00;null;null;null;null;null;null;null
260;2020-11-23T17:54:14+01:00;null;null;null;null;null;null;null
261;2020-11-23T17:54:15+01:00;null;null;null;null;null;null;null
262;2020-11-23T17:54:16+01:00;null;null;null;null;null;null;null
263;2020-11-23T17:54:17+01:00;null;null;null;null;null;null;null
264;2020-11-23T17:54:18+01:00;null;null;null;null;null;null;null
265;2020-11-23T17:54:19+01:00;null;null;null;null;null;null;null
266;2020-11-23T17:54:20+01:00;null;null;null;null;null;null;null
267;2020-11-23T17:54:21+01:00;null;null;null;null;null;null;null
268;2020-11-23T17:54:22+01:00;null;null;null;null;null;null;null
269;2020-11-23T17:54:23+01:00;null;null;null;null;null;null;null
270;2020-11-23T17:54:24+01:00;null;null;null;null;null;null;null
271;2020-11-23T17:54:25+01:00;null;null;null;null;null;null;null
272;2020-11-23T17:54:26+01:00;null;null;null;null;null;null;null
273;2020-11-23T17:54:27+01:00;null;null;null;null;null;null;null
274;2020-11-23T17:54:28+01:00;null;null;null;null;null;null;null
275;2020-11-23T17:54:29+01:00;null;null;null;null;null;null;null
276;2020-11-23T17:54:30+01:00;null;null;null;null;null;null;null
277;2020-11-23T17:54:31+01:00;null;null;null;null;null;null;null
278;2020-11-23T17:54:32+01:00;null;null;null;null;null;null;null
279;2020-11-23T17:54:33+01:00;null;null;null;null;null;null;null
280;2020-11-23T17:54:34+01:00;null;null;null;null;null;0.119;null
281;2020-11-23T17:54:35+01:00;null;null;null;null;null;0.097;null
282;2020-11-23T17:54:36+01:00;null;null;null;null;null;0.081;null
283;2020-11-23T17:54:37+01:00;null;null;null;null;null;null;null
284;2020-11-23T17:54:38+01:00;null;null;null;null;null;0.078;null
285;2020-11-23T17:54:39+01:00;null;null;null;null;null;0.079;null
286;2020-11-23T17:54:40+01:00;null;null;null;null;null;0.083;null
287;2020-11-23T17:54:41+01:00;null;null;null;null;null;0.084;null
288;2020-11-23T17:54:42+01:00;null;null;null;null;null;0.062;null
289;2020-11-23T17:54:43+01:00;null;null;null;null;null;0.083;null
290;2020-11-23T17:54:44+01:00;null;null;null;null;null;0.04;null
291;2020-11-23T17:54:45+01:00;null;null;null;null;null;0.038;null
292;2020-11-23T17:54:46+01:00;null;null;null;null;null;0.037;null
293;2020-11-23T17:54:47+01:00;null;null;null;null;null;0.044;null
294;2020-11-23T17:54:48+01:00;null;null;null;null;null;0.039;null
295;2020-11-23T17:54:49+01:00;null;null;null;null;null;0.043;null
296;2020-11-23T17:54:50+01:00;null;null;null;null;null;0.04;null
297;2020-11-23T17:54:51+01:00;null;null;null;null;null;0.04;null
298;2020-11-23T17:54:52+01:00;null;null;null;null;null;0.04;null
299;2020-11-23T17:54:53+01:00;null;null;null;null;null;null;null
300;2020-11-23T17:54:54+01:00;null;null;null;null;null;null;null
