Time;Hour;STA 6;STA 5;STA 4;STA 3;STA 2;STA 1
1;2020-11-23T18:45:44+01:00;0;0;1;1;0;0
2;2020-11-23T18:45:45+01:00;0;0;1;1;0;0
3;2020-11-23T18:45:46+01:00;0;0;1;1;0;0
4;2020-11-23T18:45:47+01:00;0;0;1;1;0;0
5;2020-11-23T18:45:48+01:00;0;0;1;1;0;0
6;2020-11-23T18:45:49+01:00;0;0;1;1;0;0
7;2020-11-23T18:45:50+01:00;0;0;1;1;0;0
8;2020-11-23T18:45:51+01:00;0;0;1;1;0;0
9;2020-11-23T18:45:52+01:00;0;0;1;1;0;0
10;2020-11-23T18:45:53+01:00;0;0;1;1;0;0
11;2020-11-23T18:45:54+01:00;0;0;1;1;0;0
12;2020-11-23T18:45:55+01:00;0;0;1;1;0;0
13;2020-11-23T18:45:56+01:00;0;0;1;1;0;0
14;2020-11-23T18:45:57+01:00;0;0;1;1;0;0
15;2020-11-23T18:45:58+01:00;0;0;1;1;0;0
16;2020-11-23T18:45:59+01:00;0;0;1;1;0;0
17;2020-11-23T18:46:00+01:00;0;0;1;1;0;0
18;2020-11-23T18:46:01+01:00;0;0;1;1;0;0
19;2020-11-23T18:46:02+01:00;0;0;1;1;0;0
20;2020-11-23T18:46:03+01:00;0;0;1;1;0;0
21;2020-11-23T18:46:04+01:00;0;0;1;1;0;0
22;2020-11-23T18:46:05+01:00;0;0;1;1;0;0
23;2020-11-23T18:46:06+01:00;0;0;1;1;0;0
24;2020-11-23T18:46:07+01:00;0;0;1;1;0;0
25;2020-11-23T18:46:08+01:00;0;0;1;1;0;0
26;2020-11-23T18:46:09+01:00;0;0;1;1;0;0
27;2020-11-23T18:46:10+01:00;0;0;1;1;0;0
28;2020-11-23T18:46:11+01:00;0;0;1;1;0;0
29;2020-11-23T18:46:12+01:00;0;0;1;1;0;0
30;2020-11-23T18:46:13+01:00;0;0;1;1;0;0
31;2020-11-23T18:46:14+01:00;0;0;1;1;0;0
32;2020-11-23T18:46:15+01:00;0;0;1;1;0;0
33;2020-11-23T18:46:16+01:00;0;0;1;1;0;0
34;2020-11-23T18:46:17+01:00;0;0;1;1;0;0
35;2020-11-23T18:46:18+01:00;0;0;1;1;0;0
36;2020-11-23T18:46:19+01:00;0;0;1;1;0;0
37;2020-11-23T18:46:20+01:00;0;0;1;1;0;0
38;2020-11-23T18:46:21+01:00;0;0;1;1;0;0
39;2020-11-23T18:46:22+01:00;0;0;1;1;0;0
40;2020-11-23T18:46:23+01:00;0;0;1;1;0;0
41;2020-11-23T18:46:24+01:00;0;0;1;1;0;0
42;2020-11-23T18:46:25+01:00;0;0;1;1;0;0
43;2020-11-23T18:46:26+01:00;0;0;1;1;0;0
44;2020-11-23T18:46:27+01:00;0;0;1;1;0;0
45;2020-11-23T18:46:28+01:00;0;0;1;1;0;0
46;2020-11-23T18:46:29+01:00;0;0;1;1;0;0
47;2020-11-23T18:46:30+01:00;0;0;1;1;0;0
48;2020-11-23T18:46:31+01:00;0;0;1;1;0;0
49;2020-11-23T18:46:32+01:00;0;0;1;1;0;0
50;2020-11-23T18:46:33+01:00;0;0;1;1;0;0
51;2020-11-23T18:46:34+01:00;0;0;1;1;0;0
52;2020-11-23T18:46:35+01:00;0;0;1;1;0;0
53;2020-11-23T18:46:36+01:00;0;0;1;1;0;0
54;2020-11-23T18:46:37+01:00;0;0;1;1;0;0
55;2020-11-23T18:46:38+01:00;0;0;1;1;0;0
56;2020-11-23T18:46:39+01:00;0;0;1;1;0;0
57;2020-11-23T18:46:40+01:00;0;0;1;1;0;0
58;2020-11-23T18:46:41+01:00;0;0;1;1;0;0
59;2020-11-23T18:46:42+01:00;0;0;1;1;0;0
60;2020-11-23T18:46:43+01:00;0;0;1;1;0;0
61;2020-11-23T18:46:44+01:00;0;0;1;1;0;0
62;2020-11-23T18:46:45+01:00;0;0;1;1;0;0
63;2020-11-23T18:46:46+01:00;0;0;1;1;0;0
64;2020-11-23T18:46:47+01:00;0;0;1;1;0;0
65;2020-11-23T18:46:48+01:00;0;0;1;1;0;0
66;2020-11-23T18:46:49+01:00;0;0;1;1;0;0
67;2020-11-23T18:46:50+01:00;0;0;1;1;0;0
68;2020-11-23T18:46:51+01:00;0;0;1;1;0;0
69;2020-11-23T18:46:52+01:00;0;0;1;1;0;0
70;2020-11-23T18:46:53+01:00;0;0;1;1;0;0
71;2020-11-23T18:46:54+01:00;0;0;1;1;0;0
72;2020-11-23T18:46:55+01:00;0;0;1;1;0;0
73;2020-11-23T18:46:56+01:00;0;0;1;1;0;0
74;2020-11-23T18:46:57+01:00;0;0;1;1;0;0
75;2020-11-23T18:46:58+01:00;0;0;1;1;0;0
76;2020-11-23T18:46:59+01:00;0;0;1;1;0;0
77;2020-11-23T18:47:00+01:00;0;0;1;1;0;0
78;2020-11-23T18:47:01+01:00;0;0;1;1;0;0
79;2020-11-23T18:47:02+01:00;0;0;1;1;0;0
80;2020-11-23T18:47:03+01:00;0;0;1;1;0;0
81;2020-11-23T18:47:04+01:00;0;0;1;1;0;0
82;2020-11-23T18:47:05+01:00;0;0;1;1;0;0
83;2020-11-23T18:47:06+01:00;0;0;1;1;0;0
84;2020-11-23T18:47:07+01:00;0;0;1;1;0;0
85;2020-11-23T18:47:08+01:00;0;0;1;1;0;0
86;2020-11-23T18:47:09+01:00;0;0;1;1;0;0
87;2020-11-23T18:47:10+01:00;0;0;1;1;0;0
88;2020-11-23T18:47:11+01:00;0;0;1;1;0;0
89;2020-11-23T18:47:12+01:00;0;0;1;1;0;0
90;2020-11-23T18:47:13+01:00;0;0;1;1;0;0
91;2020-11-23T18:47:14+01:00;0;0;1;1;0;0
92;2020-11-23T18:47:15+01:00;0;0;1;1;0;0
93;2020-11-23T18:47:16+01:00;0;0;1;1;0;0
94;2020-11-23T18:47:17+01:00;0;0;1;1;0;0
95;2020-11-23T18:47:18+01:00;0;0;1;1;0;0
96;2020-11-23T18:47:19+01:00;0;0;1;1;0;0
97;2020-11-23T18:47:20+01:00;0;0;1;1;0;0
98;2020-11-23T18:47:21+01:00;0;0;1;1;0;0
99;2020-11-23T18:47:22+01:00;0;0;1;1;0;0
100;2020-11-23T18:47:23+01:00;0;0;1;1;0;0
101;2020-11-23T18:47:24+01:00;0;0;1;1;0;0
102;2020-11-23T18:47:25+01:00;0;0;1;1;0;0
103;2020-11-23T18:47:26+01:00;0;0;1;1;0;0
104;2020-11-23T18:47:27+01:00;0;0;1;1;0;0
105;2020-11-23T18:47:28+01:00;0;0;1;1;0;0
106;2020-11-23T18:47:29+01:00;0;0;1;1;0;0
107;2020-11-23T18:47:30+01:00;0;0;1;1;0;0
108;2020-11-23T18:47:31+01:00;0;0;1;1;0;0
109;2020-11-23T18:47:32+01:00;0;0;1;1;0;0
110;2020-11-23T18:47:33+01:00;0;0;1;1;0;0
111;2020-11-23T18:47:34+01:00;0;0;1;1;0;0
112;2020-11-23T18:47:35+01:00;0;0;1;1;0;0
113;2020-11-23T18:47:36+01:00;0;0;1;1;0;0
114;2020-11-23T18:47:37+01:00;0;0;1;1;0;0
115;2020-11-23T18:47:38+01:00;0;0;1;1;0;0
116;2020-11-23T18:47:39+01:00;0;0;1;1;0;0
117;2020-11-23T18:47:40+01:00;0;0;1;1;0;0
118;2020-11-23T18:47:41+01:00;0;0;1;1;0;0
119;2020-11-23T18:47:42+01:00;0;0;1;1;0;0
120;2020-11-23T18:47:43+01:00;0;0;1;1;0;0
121;2020-11-23T18:47:44+01:00;0;0;1;1;0;0
122;2020-11-23T18:47:45+01:00;0;0;1;1;0;0
123;2020-11-23T18:47:46+01:00;0;0;1;1;0;0
124;2020-11-23T18:47:47+01:00;0;0;1;1;0;0
125;2020-11-23T18:47:48+01:00;0;0;1;1;0;0
126;2020-11-23T18:47:49+01:00;0;0;1;1;0;0
127;2020-11-23T18:47:50+01:00;0;0;1;1;0;0
128;2020-11-23T18:47:51+01:00;0;0;1;1;0;0
129;2020-11-23T18:47:52+01:00;0;0;1;1;0;0
130;2020-11-23T18:47:53+01:00;0;0;1;1;0;0
131;2020-11-23T18:47:54+01:00;0;0;1;1;0;0
132;2020-11-23T18:47:55+01:00;0;0;1;1;0;0
133;2020-11-23T18:47:56+01:00;0;0;1;1;0;0
134;2020-11-23T18:47:57+01:00;0;0;1;1;0;0
135;2020-11-23T18:47:58+01:00;0;0;1;1;0;0
136;2020-11-23T18:47:59+01:00;0;0;1;1;0;0
137;2020-11-23T18:48:00+01:00;0;0;1;1;0;0
138;2020-11-23T18:48:01+01:00;0;0;1;1;0;0
139;2020-11-23T18:48:02+01:00;0;0;1;1;0;0
140;2020-11-23T18:48:03+01:00;0;0;1;1;0;0
141;2020-11-23T18:48:04+01:00;0;0;1;1;0;0
142;2020-11-23T18:48:05+01:00;0;0;1;1;0;0
143;2020-11-23T18:48:06+01:00;0;0;1;1;0;0
144;2020-11-23T18:48:07+01:00;0;0;1;1;0;0
145;2020-11-23T18:48:08+01:00;0;0;1;1;0;0
146;2020-11-23T18:48:09+01:00;0;0;1;1;0;0
147;2020-11-23T18:48:10+01:00;0;0;1;1;0;0
148;2020-11-23T18:48:11+01:00;0;0;1;1;0;0
149;2020-11-23T18:48:12+01:00;0;0;1;1;0;0
150;2020-11-23T18:48:13+01:00;0;0;1;1;0;0
151;2020-11-23T18:48:14+01:00;0;0;1;1;0;0
152;2020-11-23T18:48:15+01:00;0;0;1;1;0;0
153;2020-11-23T18:48:16+01:00;0;0;1;1;0;0
154;2020-11-23T18:48:17+01:00;0;0;1;1;0;0
155;2020-11-23T18:48:18+01:00;0;0;1;1;0;0
156;2020-11-23T18:48:19+01:00;0;0;1;1;0;0
157;2020-11-23T18:48:20+01:00;0;0;1;1;0;0
158;2020-11-23T18:48:21+01:00;0;0;1;1;0;0
159;2020-11-23T18:48:22+01:00;0;0;1;1;0;0
160;2020-11-23T18:48:23+01:00;0;0;1;1;0;0
161;2020-11-23T18:48:24+01:00;0;0;1;1;0;0
162;2020-11-23T18:48:25+01:00;0;0;1;1;0;0
163;2020-11-23T18:48:26+01:00;0;0;1;1;0;0
164;2020-11-23T18:48:27+01:00;0;0;1;1;0;0
165;2020-11-23T18:48:28+01:00;0;0;1;1;0;0
166;2020-11-23T18:48:29+01:00;0;0;1;1;0;0
167;2020-11-23T18:48:30+01:00;0;0;1;1;0;0
168;2020-11-23T18:48:31+01:00;0;0;1;1;0;0
169;2020-11-23T18:48:32+01:00;0;0;1;1;0;0
170;2020-11-23T18:48:33+01:00;0;0;1;1;0;0
171;2020-11-23T18:48:34+01:00;0;0;1;1;0;0
172;2020-11-23T18:48:35+01:00;0;0;1;1;0;0
173;2020-11-23T18:48:36+01:00;0;0;1;1;0;0
174;2020-11-23T18:48:37+01:00;0;0;1;1;0;0
175;2020-11-23T18:48:38+01:00;0;0;1;1;0;0
176;2020-11-23T18:48:39+01:00;0;0;1;1;0;0
177;2020-11-23T18:48:40+01:00;0;0;1;1;0;0
178;2020-11-23T18:48:41+01:00;0;0;1;1;0;0
179;2020-11-23T18:48:42+01:00;0;0;1;1;0;0
180;2020-11-23T18:48:43+01:00;0;0;1;1;0;0
181;2020-11-23T18:48:44+01:00;0;0;1;1;0;0
182;2020-11-23T18:48:45+01:00;0;0;1;1;0;0
183;2020-11-23T18:48:46+01:00;0;0;1;1;0;0
184;2020-11-23T18:48:47+01:00;0;0;1;1;0;0
185;2020-11-23T18:48:48+01:00;0;0;1;1;0;0
186;2020-11-23T18:48:49+01:00;0;0;1;1;0;0
187;2020-11-23T18:48:50+01:00;0;0;1;1;0;0
188;2020-11-23T18:48:51+01:00;0;0;1;1;0;0
189;2020-11-23T18:48:52+01:00;0;0;1;1;0;0
190;2020-11-23T18:48:53+01:00;0;0;1;1;0;0
191;2020-11-23T18:48:54+01:00;0;0;1;1;0;0
192;2020-11-23T18:48:55+01:00;0;0;1;1;0;0
193;2020-11-23T18:48:56+01:00;0;0;1;1;0;0
194;2020-11-23T18:48:57+01:00;0;0;1;1;0;0
195;2020-11-23T18:48:58+01:00;0;0;1;1;0;0
196;2020-11-23T18:48:59+01:00;0;0;1;1;0;0
197;2020-11-23T18:49:00+01:00;0;0;1;1;0;0
198;2020-11-23T18:49:01+01:00;0;0;1;1;0;0
199;2020-11-23T18:49:02+01:00;0;0;1;1;0;0
200;2020-11-23T18:49:03+01:00;0;0;1;1;0;0
201;2020-11-23T18:49:04+01:00;0;0;1;1;0;0
202;2020-11-23T18:49:05+01:00;0;0;1;1;0;0
203;2020-11-23T18:49:06+01:00;0;0;1;1;0;0
204;2020-11-23T18:49:07+01:00;0;0;1;1;0;0
205;2020-11-23T18:49:08+01:00;0;0;1;1;0;0
206;2020-11-23T18:49:09+01:00;0;0;1;1;0;0
207;2020-11-23T18:49:10+01:00;0;0;1;1;0;0
208;2020-11-23T18:49:11+01:00;0;0;1;1;0;0
209;2020-11-23T18:49:12+01:00;0;0;1;1;0;0
210;2020-11-23T18:49:13+01:00;0;0;1;1;0;0
211;2020-11-23T18:49:14+01:00;0;0;1;1;0;0
212;2020-11-23T18:49:15+01:00;0;0;1;1;0;0
213;2020-11-23T18:49:16+01:00;0;0;1;1;0;0
214;2020-11-23T18:49:17+01:00;0;0;1;1;0;0
215;2020-11-23T18:49:18+01:00;0;0;1;1;0;0
216;2020-11-23T18:49:19+01:00;0;0;1;1;0;0
217;2020-11-23T18:49:20+01:00;0;0;1;1;0;0
218;2020-11-23T18:49:21+01:00;0;0;1;1;0;0
219;2020-11-23T18:49:22+01:00;0;0;1;1;0;0
220;2020-11-23T18:49:23+01:00;0;0;1;1;0;0
221;2020-11-23T18:49:24+01:00;0;0;1;1;0;0
222;2020-11-23T18:49:25+01:00;0;0;1;1;0;0
223;2020-11-23T18:49:26+01:00;0;0;1;1;0;0
224;2020-11-23T18:49:27+01:00;0;0;1;1;0;0
225;2020-11-23T18:49:28+01:00;0;0;1;1;0;0
226;2020-11-23T18:49:29+01:00;0;0;1;1;0;0
227;2020-11-23T18:49:30+01:00;0;0;1;1;0;0
228;2020-11-23T18:49:31+01:00;0;0;1;1;0;0
229;2020-11-23T18:49:32+01:00;0;0;1;1;0;0
230;2020-11-23T18:49:33+01:00;0;0;1;1;0;0
231;2020-11-23T18:49:34+01:00;0;0;1;1;0;0
232;2020-11-23T18:49:35+01:00;0;0;1;1;0;0
233;2020-11-23T18:49:36+01:00;0;0;1;1;0;0
234;2020-11-23T18:49:37+01:00;0;0;1;1;0;0
235;2020-11-23T18:49:38+01:00;0;0;1;1;0;0
236;2020-11-23T18:49:39+01:00;0;0;1;1;0;0
237;2020-11-23T18:49:40+01:00;0;0;1;1;0;0
238;2020-11-23T18:49:41+01:00;0;0;1;1;0;0
239;2020-11-23T18:49:42+01:00;0;0;1;1;0;0
240;2020-11-23T18:49:43+01:00;0;0;1;1;0;0
241;2020-11-23T18:49:44+01:00;0;0;1;1;0;0
242;2020-11-23T18:49:45+01:00;0;0;1;1;0;0
243;2020-11-23T18:49:46+01:00;0;0;1;1;0;0
244;2020-11-23T18:49:47+01:00;0;0;1;1;0;0
245;2020-11-23T18:49:48+01:00;0;0;1;1;0;0
246;2020-11-23T18:49:49+01:00;0;0;1;1;0;0
247;2020-11-23T18:49:50+01:00;0;0;1;1;0;0
248;2020-11-23T18:49:51+01:00;0;0;1;1;0;0
249;2020-11-23T18:49:52+01:00;0;0;1;1;0;0
250;2020-11-23T18:49:53+01:00;0;0;1;1;0;0
251;2020-11-23T18:49:54+01:00;0;0;1;1;0;0
252;2020-11-23T18:49:55+01:00;0;0;1;1;0;0
253;2020-11-23T18:49:56+01:00;0;0;1;1;0;0
254;2020-11-23T18:49:57+01:00;0;0;1;1;0;0
255;2020-11-23T18:49:58+01:00;0;0;1;1;0;0
256;2020-11-23T18:49:59+01:00;0;0;1;1;0;0
257;2020-11-23T18:50:00+01:00;0;0;1;1;0;0
258;2020-11-23T18:50:01+01:00;0;0;1;1;0;0
259;2020-11-23T18:50:02+01:00;0;0;1;1;0;0
260;2020-11-23T18:50:03+01:00;0;0;1;1;0;0
261;2020-11-23T18:50:04+01:00;0;0;1;1;0;0
262;2020-11-23T18:50:05+01:00;0;0;1;1;0;0
263;2020-11-23T18:50:06+01:00;0;0;1;1;0;0
264;2020-11-23T18:50:07+01:00;0;0;1;1;0;0
265;2020-11-23T18:50:08+01:00;0;0;1;1;0;0
266;2020-11-23T18:50:09+01:00;0;0;1;1;0;0
267;2020-11-23T18:50:10+01:00;0;0;1;1;0;0
268;2020-11-23T18:50:11+01:00;0;0;1;1;0;0
269;2020-11-23T18:50:12+01:00;0;0;1;1;0;0
270;2020-11-23T18:50:13+01:00;0;0;1;1;0;0
271;2020-11-23T18:50:14+01:00;0;0;1;1;0;0
272;2020-11-23T18:50:15+01:00;0;0;1;1;0;0
273;2020-11-23T18:50:16+01:00;0;0;1;1;0;0
274;2020-11-23T18:50:17+01:00;0;0;1;1;0;0
275;2020-11-23T18:50:18+01:00;0;0;1;1;0;0
276;2020-11-23T18:50:19+01:00;0;0;1;1;0;0
277;2020-11-23T18:50:20+01:00;0;0;1;1;0;0
278;2020-11-23T18:50:21+01:00;0;0;1;1;0;0
279;2020-11-23T18:50:22+01:00;0;0;1;1;0;0
280;2020-11-23T18:50:23+01:00;0;0;1;1;0;0
281;2020-11-23T18:50:24+01:00;0;0;1;1;0;0
282;2020-11-23T18:50:25+01:00;0;0;1;1;0;0
283;2020-11-23T18:50:26+01:00;0;0;1;1;0;0
284;2020-11-23T18:50:27+01:00;0;0;1;1;0;0
285;2020-11-23T18:50:28+01:00;0;0;1;1;0;0
286;2020-11-23T18:50:29+01:00;0;0;1;1;0;0
287;2020-11-23T18:50:30+01:00;0;0;1;1;0;0
288;2020-11-23T18:50:31+01:00;0;0;1;1;0;0
289;2020-11-23T18:50:32+01:00;0;0;1;1;0;0
290;2020-11-23T18:50:33+01:00;0;0;1;1;0;0
291;2020-11-23T18:50:34+01:00;0;0;1;1;0;0
292;2020-11-23T18:50:35+01:00;0;0;1;1;0;0
293;2020-11-23T18:50:36+01:00;0;0;1;1;0;0
294;2020-11-23T18:50:37+01:00;0;0;1;1;0;0
295;2020-11-23T18:50:38+01:00;0;0;1;1;0;0
296;2020-11-23T18:50:39+01:00;0;0;1;1;0;0
297;2020-11-23T18:50:40+01:00;0;0;1;1;0;0
298;2020-11-23T18:50:41+01:00;0;0;1;1;0;0
299;2020-11-23T18:50:42+01:00;0;0;1;1;0;0
300;2020-11-23T18:50:43+01:00;0;0;1;1;0;0
