Time (sec) ,BE Slice Quantum (us) ,QoS Slice Quantum (us)
1,12000,12000
5,9600,12000
10,7680,12000
15,6144,12000
20,4915,12000
25,3932,12000
30,3145,12000
35,2516,12000
40,2012,12000
45,1609,12000
50,1287,12000
55,1029,12000
60,823,12000
65,658,12000
70,526,12000
75,420,12000
80,336,12000
85,268,12000
90,268,12000
95,268,12000
100,268,12000
105,268,12000
110,281,12000
115,281,12000
120,281,12000
125,281,12000
130,281,12000
135,295,12000
140,295,12000
145,295,12000
150,295,12000
155,295,12000
160,309,12000
165,309,12000
170,309,12000
175,309,12000
180,309,12000